name,optout,instruction,complete
411.com,https://www.whitepages.com/suppression_requests,"Search for your name and location, and paste the URL into the opt out form to opt out.",FALSE
411.info,https://411.info/manage/,"Search for your name and location, and paste the URL into the opt out form to opt out.",FALSE
411Locate.com,https://www.411locate.com/contact,Use the contact page and request that your information is removed.,FALSE
acxiom.com,https://isapps.acxiom.com/optout/optout.aspx,Use the online form to complete the removal process.  ,FALSE
absolutepeoplesearch.com,https://absolutepeoplesearch.com/optout,"Search for your name and location, and select ""Removal Request"" button to remove your profile information.",FALSE
Accudata.com,https://www.accudata.com/wp-content/uploads/2019/12/Opt-Out-Request-by-Mail-Form.pdf,Use the Consumer Opt-Out Request form to remove your profile.,FALSE
Addresses.com (Intelius),https://www.intelius.com/opt-out/submit/,Use the opt out form and fill out the information as it apears on your listing.,FALSE
AddressSearch.com,https://www.addresssearch.com/remove-info.php,Use the opt out form and fill out the information as it apears on your listing.,FALSE
Advanced-People-Search.com,https://www.peoplefinders.com/opt-out,Use the opt out form and fill out the information as it apears on your listing.,FALSE
AdvancedBackgroundChecks.com,https://www.advancedbackgroundchecks.com/removal,Use the opt out form and fill out the information as it apears on your listing.,FALSE
AlarmsCalifornia.org,removals@licensedata.org ,Search for your listing on https://www.alarmscalifornia.org/. Send an email to removals@licensedata.org requesting for your information to be removed along with a url of your listing.,FALSE
AllAreaCodes.com,https://www.allareacodes.com/remove_name.htm,Use the opt out form and fill out the information as it apears on your listing.,FALSE
AllPeople.com,https://www.AllPeople.com,"Search for your own listing on allpeople.com. Find your listing and click ""remove"" to remove your information as it appears in the listing.",FALSE
alumnius.net,https://www.alumnius.net/feedback,Does not have a functioning opt-out process in place at this time. Use the feedback form.,FALSE
AmericaPhoneBook.com,http://www.americaphonebook.com/contact.php,"Scroll down the page nd enter your phone number and 5 digit zip code, and click ""request removal""",FALSE
Ancestry.com,https://www.ancestry.com/secure/account/delete,"Click name or username on the top right corner on any Ancestry page and select your account and click ""cancel membership"" in the membership section.",FALSE
AncientFaces.com,https://www.ancientfaces.com/contact,"Scroll down the page and under ""Contact AncientFaces"" section, select the option to ""Request to Remove Information."" Fill out the removal form.",FALSE
AnyWho.com (Intelius),https://www.intelius.com/opt-out/submit/,"AnyWho is owned by Intelius. Search for your own listing, select ""Select and Continue"", and enter in your email address to verify your opt-out request.",FALSE
Archives.com,https://www.archives.com/optout,Use the opt out form and fill out the information as it apears on your listing.,FALSE
Arivify.com,https://www.arivify.com/removal,Use the opt out form and fill out the information as it apears on your listing.,FALSE
azerch.com,https://www.azerch.com/Policies/Privacy,Use the content removal tool at the bottomof the page and paste the URL of your listing.,FALSE
BackgroundAlert.com,https://backgroundalert.com/optout/,"Seach for your own listing, and click ""That's me"" to claim profile. Upload redacted ID: Be sure to block out your photo, signature, and ID number.",FALSE
BackgroundCheck.run,https://backgroundcheck.run/,"Search for own profile, and click ""Control this profile"" on right side of screen to opt out.",FALSE
BackgroundReport360.com (Infotracer),https://infotracer.com/optout/,BackgoundReport360 gets its info from Infotracer. Use the opt out form and fill out the information as it apears on your listing.,FALSE
bearsofficialsstore.com,https://bearsofficialsstore.com/feedback,Does not have a functioning opt-out process in place at this time. Use the feedback form.,FALSE
BeenVerified.com,https://www.beenverified.com/app/optout/search,Use the opt out form and fill out the information as it apears on your listing.,FALSE
BizShark.com,https://www.bizshark.com/opt_out/new,Search for your name on https://www.bizshark.com/ to find your listing. Click on your name and then copy the URL of your listing. Submit it into the opt out form to opt out.,FALSE
BlockShopper.com,scarlett@blockshopper.com,"Email scarlett@blockshopper.com with ""Removal"" as the subject",FALSE
BuzzFile.com,http://www.buzzfile.com/Company/Remove,Use the removal form to complete the opt-out process.,FALSE
